Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Mn,9.879,5.25,18,,Matt Sullivan,YELLOW 340,
Mo,3.781,0.7,5,,Matt Sullivan,YELLOW 340,
Na,3648,2015,10500,,Matt Sullivan,YELLOW 340,
P,12253,5100,14000,,Matt Sullivan,YELLOW 340,
Se,1.702,0.7,2.5,,Matt Sullivan,YELLOW 340,
Zn,117,88,438,,Matt Sullivan,YELLOW 340,
,,,,,Matt Sullivan,,
Ca,171,80,865,,Matt Sullivan,YELLOW 348,
Co,0.282,0.1,0.7,,Matt Sullivan,YELLOW 348,
Cr,0.472,0.14,13.3,,Matt Sullivan,YELLOW 348,
Cu,26.097,88,525,,Matt Sullivan,YELLOW 348,
Fe,585,151,1050,,Matt Sullivan,YELLOW 348,
K,12919,3900,14000,,Matt Sullivan,YELLOW 348,
Mg,752,250,875,,Matt Sullivan,YELLOW 348,
Mn,10.4,5.25,18,,Matt Sullivan,YELLOW 348,
Mo,4.688,0.7,5,,Matt Sullivan,YELLOW 348,
Na,2992,2015,10500,,Matt Sullivan,YELLOW 348,
P,14068,5100,14000,,Matt Sullivan,YELLOW 348,
Se,1.555,0.7,2.5,,Matt Sullivan,YELLOW 348,
Zn,164,88,438,,Matt Sullivan,YELLOW 348,
,,,,,Matt Sullivan,,
Ca,142,80,865,,Matt Sullivan,YELLOW 394,
Co,0.276,0.1,0.7,,Matt Sullivan,YELLOW 394,
Cr,1.112,0.14,13.3,,Matt Sullivan,YELLOW 394,
Cu,123.118,88,525,,Matt Sullivan,YELLOW 394,
Fe,234,151,1050,,Matt Sullivan,YELLOW 394,
K,11796,3900,14000,,Matt Sullivan,YELLOW 394,
Mg,692,250,875,,Matt Sullivan,YELLOW 394,
Mn,8.608,5.25,18,,Matt Sullivan,YELLOW 394,
Mo,3.423,0.7,5,,Matt Sullivan,YELLOW 394,
Na,3177,2015,10500,,Matt Sullivan,YELLOW 394,
P,11388,5100,14000,,Matt Sullivan,YELLOW 394,
Se,2.085,0.7,2.5,,Matt Sullivan,YELLOW 394,
Zn,136,88,438,,Matt Sullivan,YELLOW 394,
,,,,,Matt Sullivan,,
Ca,158,80,865,,Matt Sullivan,YELLOW 398,
Co,0.256,0.1,0.7,,Matt Sullivan,YELLOW 398,
Cr,0.831,0.14,13.3,,Matt Sullivan,YELLOW 398,
Cu,54.756,88,525,,Matt Sullivan,YELLOW 398,
Fe,487,151,1050,,Matt Sullivan,YELLOW 398,
K,12028,3900,14000,,Matt Sullivan,YELLOW 398,
Mg,711,250,875,,Matt Sullivan,YELLOW 398,
Mn,13.483,5.25,18,,Matt Sullivan,YELLOW 398,
Mo,4.916,0.7,5,,Matt Sullivan,YELLOW 398,
Na,4090,2015,10500,,Matt Sullivan,YELLOW 398,
P,14139,5100,14000,,Matt Sullivan,YELLOW 398,
Se,3.063,0.7,2.5,,Matt Sullivan,YELLOW 398,
Zn,115,88,438,,Matt Sullivan,YELLOW 398,
,,,,,Matt Sullivan,,
Ca,210,80,865,,Matt Sullivan,YELLOW 517,
Co,0.24,0.1,0.7,,Matt Sullivan,YELLOW 517,
Cr,0.497,0.14,13.3,,Matt Sullivan,YELLOW 517,
Cu,29.571,88,525,,Matt Sullivan,YELLOW 517,
Fe,531,151,1050,,Matt Sullivan,YELLOW 517,
K,10385,3900,14000,,Matt Sullivan,YELLOW 517,
Mg,597,250,875,,Matt Sullivan,YELLOW 517,
Mn,8.453,5.25,18,,Matt Sullivan,YELLOW 517,
Mo,3.328,0.7,5,,Matt Sullivan,YELLOW 517,
Na,6422,2015,10500,,Matt Sullivan,YELLOW 517,
P,11622,5100,14000,,Matt Sullivan,YELLOW 517,
Se,1.691,0.7,2.5,,Matt Sullivan,YELLOW 517,
Zn,114,88,438,,Matt Sullivan,YELLOW 517,
,,,,,Matt Sullivan,,
Ca,176,80,865,,Matt Sullivan,YELLOW 44J,
Co,0.165,0.1,0.7,,Matt Sullivan,YELLOW 44J,
Cr,1.586,0.14,13.3,,Matt Sullivan,YELLOW 44J,
Cu,75.531,88,525,,Matt Sullivan,YELLOW 44J,
Fe,517,151,1050,,Matt Sullivan,YELLOW 44J,
K,8937,3900,14000,,Matt Sullivan,YELLOW 44J,
Mg,542,250,875,,Matt Sullivan,YELLOW 44J,
